región,year,month,precipitation,source_file,month_num,date,anomaly,monthly_mean
LUGO,2021,diciembre,179.8,../data/raw\PREC_2021_Provincias.csv,12,2021-12-01,-46.037499999999994,225.8375
OURENSE,2021,diciembre,144.5,../data/raw\PREC_2021_Provincias.csv,12,2021-12-01,-81.3375,225.8375
PONTEVEDRA,2021,diciembre,236.4,../data/raw\PREC_2021_Provincias.csv,12,2021-12-01,10.5625,225.8375
A CORUÑA,2022,diciembre,359.1,../data/raw\PREC_2022_Provincias.csv,12,2022-12-01,133.26250000000002,225.8375
LUGO,2022,diciembre,218.7,../data/raw\PREC_2022_Provincias.csv,12,2022-12-01,-7.137500000000017,225.8375
OURENSE,2022,diciembre,238.5,../data/raw\PREC_2022_Provincias.csv,12,2022-12-01,12.662499999999994,225.8375
PONTEVEDRA,2022,diciembre,427.8,../data/raw\PREC_2022_Provincias.csv,12,2022-12-01,201.9625,225.8375
A CORUÑA,2023,diciembre,230.7,../data/raw\PREC_2023_Provincias.csv,12,2023-12-01,4.862499999999983,225.8375
LUGO,2023,diciembre,124.6,../data/raw\PREC_2023_Provincias.csv,12,2023-12-01,-101.23750000000001,225.8375
OURENSE,2023,diciembre,124.2,../data/raw\PREC_2023_Provincias.csv,12,2023-12-01,-101.6375,225.8375
PONTEVEDRA,2023,diciembre,225.5,../data/raw\PREC_2023_Provincias.csv,12,2023-12-01,-0.3375000000000057,225.8375
A CORUÑA,2024,diciembre,105.6,../data/raw\PREC_2024_Provincias.csv,12,2024-12-01,-120.23750000000001,225.8375
LUGO,2024,diciembre,75.9,../data/raw\PREC_2024_Provincias.csv,12,2024-12-01,-149.9375,225.8375
OURENSE,2024,diciembre,33.2,../data/raw\PREC_2024_Provincias.csv,12,2024-12-01,-192.6375,225.8375
PONTEVEDRA,2024,diciembre,80.4,../data/raw\PREC_2024_Provincias.csv,12,2024-12-01,-145.4375,225.8375
