Parámetro;región;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
Precipitación;A CORUÑA;190.1;243.8;250.9;143.4;205.1;61.2;61.0;21.4;127.6;350.2;158.0;105.6;1918.3
Precipitación;ALBACETE;35.4;41.0;84.2;14.4;4.9;56.7;2.1;10.2;48.1;83.7;8.8;1.5;391.0
Precipitación;ALICANTE/ALACANT;14.6;12.0;21.9;13.1;3.2;38.7;5.4;21.2;48.1;52.5;35.6;18.8;285.1
Precipitación;ALMERIA;16.1;10.3;47.4;6.9;1.0;16.3;0.1;9.4;10.6;51.7;24.4;4.4;198.6
Precipitación;ARABA/ALAVA;64.9;146.0;79.6;42.6;106.8;63.5;12.7;60.3;70.6;155.5;46.1;146.9;995.5
Precipitación;ASTURIAS;103.9;165.3;126.9;71.4;98.6;93.6;41.3;36.0;130.2;159.6;81.7;127.8;1236.3
Precipitación;AVILA;114.7;56.3;135.0;27.0;30.9;56.1;1.1;15.0;14.8;158.3;38.5;6.4;654.1
Precipitación;BADAJOZ;97.5;68.7;136.7;23.2;2.1;21.4;0.1;0.1;6.5;149.5;21.3;6.0;533.1
Precipitación;ILLES BALEARS;65.0;48.8;36.7;44.1;18.2;10.8;5.3;64.7;57.5;83.8;82.4;43.3;560.6
Precipitación;BARCELONA;26.1;15.4;99.0;85.5;59.3;81.0;20.5;50.4;80.2;137.3;52.9;25.0;732.6
Precipitación;BIZKAIA;90.7;186.5;103.3;72.6;115.5;92.9;25.3;74.0;178.1;201.6;114.7;198.2;1453.4
Precipitación;BURGOS;62.1;98.6;92.6;32.0;71.4;55.9;11.4;43.7;55.9;146.6;33.0;55.0;758.2
Precipitación;CACERES;152.2;84.9;153.0;29.2;9.5;52.5;0.2;0.1;20.9;195.1;32.6;8.6;738.8
Precipitación;CADIZ;67.4;107.4;230.9;13.8;3.0;5.4;0.3;0.2;7.2;276.5;41.8;21.6;775.5
Precipitación;CANTABRIA;81.6;163.4;105.9;56.9;101.0;76.7;39.1;71.0;153.0;146.5;96.8;189.1;1281.0
Precipitación;CASTELLON/CASTELLÓ;15.8;10.5;33.2;9.0;36.4;56.8;18.6;26.3;139.0;228.2;111.3;7.0;692.1
Precipitación;CEUTA;65.1;77.9;281.8;11.3;11.9;2.7;0.0;0.2;4.9;165.7;14.3;16.9;652.7
Precipitación;CIUDAD REAL;73.7;63.2;167.6;12.8;2.6;31.2;3.1;11.1;23.7;126.9;17.0;2.5;535.4
Precipitación;CORDOBA;65.4;101.7;214.8;24.3;1.7;17.1;0.1;0.6;5.0;180.7;26.6;1.8;639.8
Precipitación;CUENCA;76.2;50.1;151.4;16.2;10.7;57.3;4.4;27.8;29.2;130.5;12.2;3.4;569.4
Precipitación;GIPUZKOA;113.9;228.0;125.8;75.3;135.5;129.5;41.3;82.7;161.4;249.4;101.8;245.1;1689.7
Precipitación;GIRONA;13.4;39.6;111.9;101.5;109.9;82.9;29.7;49.5;61.1;107.8;49.0;40.5;796.8
Precipitación;GRANADA;34.9;67.1;143.0;21.3;5.8;5.9;1.9;6.7;16.0;75.6;35.3;3.6;417.1
Precipitación;GUADALAJARA;80.0;51.2;152.8;18.2;31.1;64.8;9.0;80.8;61.4;153.1;14.0;8.0;724.4
Precipitación;HUELVA;88.7;88.5;172.3;24.2;0.4;15.4;0.5;0.0;5.8;200.3;53.3;4.7;654.1
Precipitación;HUESCA;42.7;84.7;151.1;43.8;61.2;66.8;20.2;64.3;168.3;182.9;37.3;19.7;943.0
Precipitación;JAEN;50.0;106.4;206.6;30.1;8.5;9.0;2.4;14.3;14.0;93.4;30.3;1.8;566.8
Precipitación;LA RIOJA;31.6;64.1;57.6;23.9;75.8;58.7;17.9;51.4;73.6;122.2;23.4;39.3;639.5
Precipitación;LAS PALMAS;1.2;4.3;27.4;1.9;2.5;1.0;0.9;2.3;0.7;11.9;7.1;16.6;77.8
Precipitación;LEON;76.6;91.4;130.2;56.8;69.9;80.1;14.9;21.7;82.9;140.8;49.9;34.0;849.2
Precipitación;LLEIDA;40.8;37.0;102.8;71.3;56.0;61.5;31.2;33.2;102.6;145.5;37.3;24.0;743.2
Precipitación;LUGO;142.3;172.4;188.3;88.1;132.2;54.8;42.2;17.8;115.4;206.8;104.3;75.9;1340.5
Precipitación;MADRID;76.5;42.6;108.9;13.3;17.9;43.9;0.8;27.4;20.8;128.3;13.1;7.0;500.5
Precipitación;MALAGA;52.1;69.8;188.4;13.0;4.7;7.2;0.3;0.9;9.3;225.6;77.7;17.3;666.3
Precipitación;MELILLA;18.7;23.3;31.9;11.4;0.0;3.3;0.0;3.4;7.6;31.3;0.2;17.0;148.1
Precipitación;MURCIA;8.7;9.6;18.4;12.7;3.5;44.1;2.8;11.4;23.7;52.6;25.5;8.8;221.8
Precipitación;NAVARRA;66.3;148.9;125.7;44.2;85.5;56.2;19.8;74.4;126.0;160.8;39.9;132.6;1080.3
Precipitación;OURENSE;138.6;143.1;226.4;70.6;117.0;57.0;19.8;3.2;111.4;185.4;68.4;33.2;1174.1
Precipitación;PALENCIA;46.8;55.8;93.3;40.4;54.6;57.8;6.1;25.9;40.2;143.1;26.5;16.0;606.5
Precipitación;PONTEVEDRA;215.7;268.4;310.0;120.8;193.4;61.2;33.2;7.7;161.0;343.5;104.1;80.4;1899.4
Precipitación;SALAMANCA;107.1;54.2;140.0;40.3;29.9;75.1;2.4;1.6;19.0;128.9;40.7;6.2;645.4
Precipitación;SANTA CRUZ DE TENERIFE;8.4;13.7;52.6;8.6;10.1;5.6;3.2;1.3;6.2;36.9;26.6;48.3;221.5
Precipitación;SEGOVIA;113.8;50.8;80.6;24.0;52.4;83.2;7.0;27.6;32.5;123.4;21.2;12.2;628.7
Precipitación;SEVILLA;59.7;97.4;201.6;19.4;0.6;15.2;0.6;0.1;4.0;263.9;35.8;5.9;704.2
Precipitación;SORIA;80.3;53.5;88.9;23.3;51.1;65.0;9.7;65.4;71.7;119.7;12.1;11.1;651.8
Precipitación;TARRAGONA;31.5;24.5;49.6;33.7;25.9;61.1;9.3;14.2;111.1;160.9;111.4;13.9;647.1
Precipitación;TERUEL;35.1;22.8;50.7;8.4;30.0;60.2;16.1;57.0;71.8;156.7;35.9;7.1;551.8
Precipitación;TOLEDO;94.2;41.9;134.1;9.7;8.3;40.0;1.9;10.7;15.9;125.2;19.4;4.6;505.9
Precipitación;VALENCIA/VALÈNCIA;27.5;12.2;44.9;7.9;4.2;72.8;8.4;13.7;55.7;212.5;40.8;15.4;516.0
Precipitación;VALLADOLID;63.7;35.8;69.5;23.4;40.9;57.3;4.0;20.7;13.8;98.9;23.3;7.0;458.3
Precipitación;ZAMORA;77.8;44.5;107.0;38.7;42.3;67.1;8.4;2.3;32.8;126.0;38.5;12.2;597.6
Precipitación;ZARAGOZA;38.5;39.3;56.1;11.8;30.7;50.0;11.8;57.3;73.6;117.1;14.9;11.5;512.6
