Parámetro;región;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
Precipitación;SEGOVIA;58.4;11.5;25.9;11.6;53.0;65.9;9.2;0.3;124.7;123.5;80.7;35.2;599.9
Precipitación;SEVILLA;28.5;7.1;16.9;2.2;44.6;39.1;0.0;0.1;46.0;107.8;47.0;21.1;360.4
Precipitación;SORIA;55.1;21.4;16.7;16.2;35.7;117.2;17.8;2.2;87.0;112.6;73.8;24.6;580.3
Precipitación;TARRAGONA;6.7;49.5;5.5;7.0;53.1;34.5;23.0;11.8;111.1;26.3;8.0;4.3;340.8
Precipitación;TERUEL;14.9;15.7;5.4;8.4;45.1;107.0;20.4;7.7;56.7;24.8;21.2;11.4;338.7
Precipitación;TOLEDO;22.9;2.1;10.1;5.3;79.5;55.6;0.3;0.1;103.6;118.5;65.2;15.4;478.6
Precipitación;VALENCIA/VALÈNCIA;5.8;34.1;1.6;1.7;93.5;50.7;16.3;11.0;87.3;6.9;2.9;2.5;314.3
Precipitación;VALLADOLID;28.4;10.6;15.7;6.2;35.3;62.0;0.8;0.1;83.4;82.7;64.2;27.4;416.8
Precipitación;ZAMORA;54.6;11.1;31.4;6.4;46.6;83.3;0.7;1.8;87.4;134.9;79.2;37.3;574.7
Precipitación;ZARAGOZA;22.4;15.3;4.1;9.8;29.6;88.1;21.7;2.4;67.4;52.2;30.2;11.1;354.3
