Parámetro;región;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
Precipitación;A CORUÑA;75.0;59.7;151.0;95.8;52.8;81.7;4.8;27.4;109.2;276.8;261.3;359.1;1554.6
Precipitación;ALBACETE;4.5;8.2;122.1;93.9;16.5;1.6;4.5;21.0;23.2;22.7;27.0;72.0;417.2
Precipitación;ALICANTE/ALACANT;11.1;2.5;283.3;98.8;42.6;6.5;2.4;9.7;54.6;44.9;32.3;37.9;626.6
Precipitación;ALMERIA;9.0;8.3;183.3;73.9;40.6;1.5;0.1;5.3;6.9;6.5;8.8;47.4;391.6
Precipitación;ARABA/ALAVA;87.3;18.6;80.3;100.0;18.4;23.1;9.0;24.3;32.5;16.6;94.0;50.6;554.7
Precipitación;ASTURIAS;55.2;42.5;121.7;121.3;41.7;95.4;18.1;71.3;69.2;62.3;120.0;106.1;924.8
Precipitación;AVILA;12.1;6.2;151.9;70.9;13.0;9.1;1.3;8.7;72.3;94.3;85.9;154.9;680.6
Precipitación;BADAJOZ;3.9;5.9;88.9;54.2;4.3;2.2;0.0;1.4;35.1;43.9;46.8;170.4;457.0
Precipitación;ILLES BALEARS;14.8;2.0;66.2;41.0;35.7;1.7;0.4;27.1;73.1;60.3;95.7;40.2;458.2
Precipitación;BARCELONA;5.3;5.7;87.6;43.4;46.3;21.7;24.9;89.1;48.0;14.9;13.8;38.4;439.1
Precipitación;BIZKAIA;148.0;47.0;119.9;127.5;30.8;58.6;7.6;38.7;102.9;20.5;201.3;66.9;969.7
Precipitación;BURGOS;33.5;10.2;73.2;75.4;20.2;23.4;3.8;24.3;18.8;45.5;82.8;88.7;499.8
Precipitación;CACERES;7.1;5.8;117.1;60.6;3.3;7.6;0.2;0.9;46.6;102.5;88.5;298.0;738.2
Precipitación;CADIZ;10.3;9.0;222.0;72.5;13.1;0.2;0.0;2.0;11.0;5.4;61.9;239.1;646.5
Precipitación;CANTABRIA;105.9;35.6;132.7;127.6;19.0;56.5;13.5;64.2;90.6;38.4;129.0;82.0;895.0
Precipitación;CASTELLON/CASTELLÓ;4.5;8.9;221.8;97.9;62.6;17.1;22.5;13.0;41.4;36.2;122.6;21.5;670.0
Precipitación;CEUTA;30.4;16.0;219.3;81.8;2.2;0.1;0.0;0.2;9.0;9.2;67.3;177.6;613.1
Precipitación;CIUDAD REAL;10.7;11.7;89.0;76.3;7.8;3.3;0.2;10.0;16.0;23.0;41.4;140.2;429.6
Precipitación;CORDOBA;5.1;12.2;113.5;78.7;13.4;0.3;0.0;4.9;19.2;25.6;31.8;156.5;461.2
Precipitación;CUENCA;6.9;12.3;78.3;58.1;9.3;4.0;8.2;20.0;32.6;31.9;55.2;132.5;449.3
Precipitación;GIPUZKOA;172.3;50.1;139.6;150.3;32.1;76.2;28.9;62.5;107.8;29.5;223.8;61.7;1134.8
Precipitación;GIRONA;10.4;7.3;159.1;57.7;43.4;17.2;9.6;84.8;105.0;33.0;29.0;25.0;581.5
Precipitación;GRANADA;6.5;20.9;132.3;62.1;20.6;1.2;0.1;7.7;9.9;7.0;15.9;111.2;395.4
Precipitación;GUADALAJARA;10.6;7.4;93.8;66.9;20.6;7.3;10.5;16.2;36.1;48.7;64.4;120.0;502.5
