province,year,annual_prec_mm
A Coruña,2019,1043.5
A Coruña,2020,956.5
A Coruña,2021,1033
A Coruña,2022,903.2
A Coruña,2023,1083.5
A Coruña,2024,1146.7
Lugo,2019,1275.4
Lugo,2020,1056.4
Lugo,2021,837.8
Lugo,2022,928.8
Lugo,2023,1089.6
Lugo,2024,897.1
Ourense,2019,921.2
Ourense,2020,708
Ourense,2021,840.4
Ourense,2022,473.6
Ourense,2023,595
Ourense,2024,530.9
Pontevedra,2019,1883.7
Pontevedra,2020,1668.5
Pontevedra,2021,1606.2
Pontevedra,2022,1630.3
Pontevedra,2023,1634.8
Pontevedra,2024,1800.4
